vehicle,scenario,policy,crisis,start,end,full_cvar_95,full_max_drawdown,full_return,max_drawdown_improvement,n_sessions,policy_cvar_95,policy_max_drawdown,policy_return,protection_vs_full,recovery_average_gross,recovery_capture,recovery_full_return,recovery_missed_upside,recovery_policy_return,recovery_sessions
shanghai_composite,lag1_cost10,binary_loud_075,covid_2020,2020-01-13,2020-03-23,-0.04945374726,-0.1461691236,-0.1397414058,0,45,-0.04945374726,-0.1461691236,-0.1397414058,0,0.9920634921,0.9910797979,0.1200604145,0.0009355040705,0.1189894514,63
shanghai_composite,lag1_cost10,binary_loud_075,property_2021_22,2021-09-13,2022-04-26,-0.03082200316,-0.2231110655,-0.2205389935,0.01751376814,147,-0.02554302519,-0.2055972974,-0.2029672419,0.01757175155,0.9404761905,0.8263254379,0.1372457173,0.02928184461,0.1134096275,63
shanghai_composite,lag1_cost10,binary_loud_075,confidence_2023_24,2023-05-08,2024-02-05,-0.0179765973,-0.2040692022,-0.1896281126,0,187,-0.0179765973,-0.2040692022,-0.1896281126,0,1,1,0.1672131296,0,0.1672131296,63
shanghai_composite,lag1_cost10,constant_075,bear_2004_05,2004-04-06,2005-07-11,-0.02418648438,-0.4309480036,-0.427393864,0.08989803848,307,-0.01813986328,-0.3410499651,-0.3379632519,0.08943061208,0.75,0.7461333948,0.1395038739,0.100237668,0.104088499,63
shanghai_composite,lag1_cost10,constant_075,gfc_2007_08,2007-10-16,2008-11-04,-0.05978690901,-0.7198478335,-0.7169687098,0.112169493,259,-0.04484018176,-0.6076783405,-0.6046544234,0.1123142864,0.75,0.7364698519,0.3272144508,0.189909743,0.2409835781,63
shanghai_composite,lag1_cost10,constant_075,tightening_2009_10,2009-08-04,2010-07-05,-0.04423992406,-0.3190299392,-0.3172890992,0.07347313828,223,-0.03317994304,-0.2455568009,-0.2441103002,0.07317879899,0.75,0.7379974566,0.2019752485,0.1030550187,0.1490572197,63
shanghai_composite,lag1_cost10,constant_075,slowdown_2011_12,2011-04-18,2012-12-03,-0.02469899609,-0.358993781,-0.3575642215,0.07870444079,400,-0.01852424707,-0.2802893402,-0.2790855268,0.07847869476,0.75,0.7425496269,0.1667739165,0.0969646485,0.1238379095,63
shanghai_composite,lag1_cost10,constant_075,bubble_2015_16,2015-06-12,2016-01-28,-0.07343531386,-0.4859696229,-0.4814775391,0.1005816522,156,-0.0550764854,-0.3853879708,-0.3813596747,0.1001178644,0.75,0.7518563068,0.1288497164,0.1070834838,0.09687647189,63
shanghai_composite,lag1_cost10,constant_075,trade_deleveraging_2018,2018-01-24,2019-01-03,-0.03203315579,-0.3076591633,-0.3051291008,0.06932081556,229,-0.02402486684,-0.2383383478,-0.2362508084,0.06887829233,0.75,0.728571973,0.3155244917,0.1159435603,0.2298823014,63
shanghai_composite,lag1_cost10,constant_075,covid_2020,2020-01-13,2020-03-23,-0.04945374726,-0.1461691236,-0.1397414058,0.03583205449,45,-0.03709031044,-0.1103370691,-0.1053139705,0.03442743531,0.75,0.7432689549,0.1200604145,0.06503502207,0.08923717882,63
shanghai_composite,lag1_cost10,constant_075,property_2021_22,2021-09-13,2022-04-26,-0.03082200316,-0.2231110655,-0.2205389935,0.05206292621,147,-0.02311650237,-0.1710481393,-0.1689898104,0.05154918305,0.75,0.7425785751,0.1372457173,0.07860860875,0.1019157292,63
shanghai_composite,lag1_cost10,constant_075,confidence_2023_24,2023-05-08,2024-02-05,-0.0179765973,-0.2040692022,-0.1896281126,0.0477204138,187,-0.01348244797,-0.1563487884,-0.1448686043,0.04475950825,0.75,0.7389068225,0.1672131296,0.0786738255,0.1235549222,63
shanghai_composite,lag1_cost10,constant_100,bear_2004_05,2004-04-06,2005-07-11,-0.02418648438,-0.4309480036,-0.427393864,0,307,-0.02418648438,-0.4309480036,-0.427393864,0,1,1,0.1395038739,0,0.1395038739,63
shanghai_composite,lag1_cost10,constant_100,gfc_2007_08,2007-10-16,2008-11-04,-0.05978690901,-0.7198478335,-0.7169687098,0,259,-0.05978690901,-0.7198478335,-0.7169687098,0,1,1,0.3272144508,0,0.3272144508,63
shanghai_composite,lag1_cost10,constant_100,tightening_2009_10,2009-08-04,2010-07-05,-0.04423992406,-0.3190299392,-0.3172890992,0,223,-0.04423992406,-0.3190299392,-0.3172890992,0,1,1,0.2019752485,0,0.2019752485,63
shanghai_composite,lag1_cost10,constant_100,slowdown_2011_12,2011-04-18,2012-12-03,-0.02469899609,-0.358993781,-0.3575642215,0,400,-0.02469899609,-0.358993781,-0.3575642215,0,1,1,0.1667739165,0,0.1667739165,63
shanghai_composite,lag1_cost10,constant_100,bubble_2015_16,2015-06-12,2016-01-28,-0.07343531386,-0.4859696229,-0.4814775391,0,156,-0.07343531386,-0.4859696229,-0.4814775391,0,1,1,0.1288497164,0,0.1288497164,63
shanghai_composite,lag1_cost10,constant_100,trade_deleveraging_2018,2018-01-24,2019-01-03,-0.03203315579,-0.3076591633,-0.3051291008,0,229,-0.03203315579,-0.3076591633,-0.3051291008,0,1,1,0.3155244917,0,0.3155244917,63
shanghai_composite,lag1_cost10,constant_100,covid_2020,2020-01-13,2020-03-23,-0.04945374726,-0.1461691236,-0.1397414058,0,45,-0.04945374726,-0.1461691236,-0.1397414058,0,1,1,0.1200604145,0,0.1200604145,63
shanghai_composite,lag1_cost10,constant_100,property_2021_22,2021-09-13,2022-04-26,-0.03082200316,-0.2231110655,-0.2205389935,0,147,-0.03082200316,-0.2231110655,-0.2205389935,0,1,1,0.1372457173,0,0.1372457173,63
shanghai_composite,lag1_cost10,constant_100,confidence_2023_24,2023-05-08,2024-02-05,-0.0179765973,-0.2040692022,-0.1896281126,0,187,-0.0179765973,-0.2040692022,-0.1896281126,0,1,1,0.1672131296,0,0.1672131296,63
shanghai_composite,lag1_cost10,current_ladder,bear_2004_05,2004-04-06,2005-07-11,-0.02418648438,-0.4309480036,-0.427393864,0.02393291417,307,-0.0230317559,-0.4070150894,-0.3979083509,0.02948551307,0.9526984127,0.8280410868,0.1395038739,0.02939392622,0.1155149394,63
shanghai_composite,lag1_cost10,current_ladder,gfc_2007_08,2007-10-16,2008-11-04,-0.05978690901,-0.7198478335,-0.7169687098,0.07837154999,259,-0.04874470311,-0.6414762835,-0.6381601902,0.07880851958,0.9587301587,0.8944754105,0.3272144508,0.04520705592,0.2926852802,63
shanghai_composite,lag1_cost10,current_ladder,tightening_2009_10,2009-08-04,2010-07-05,-0.04423992406,-0.3190299392,-0.3172890992,-0.004057458901,223,-0.04424242406,-0.3230873981,-0.3213569306,-0.004067831438,0.9980952381,0.9932369728,0.2019752485,0.001090469994,0.2006092844,63
shanghai_composite,lag1_cost10,current_ladder,slowdown_2011_12,2011-04-18,2012-12-03,-0.02469899609,-0.358993781,-0.3575642215,-0.001306451859,400,-0.02283447426,-0.3603002328,-0.358892778,-0.001328556475,0.9950793651,0.9703935408,0.1667739165,0.004599839157,0.1618363314,63
shanghai_composite,lag1_cost10,current_ladder,bubble_2015_16,2015-06-12,2016-01-28,-0.07343531386,-0.4859696229,-0.4814775391,0.02210425677,156,-0.06902762927,-0.4638653662,-0.4591801144,0.02229742469,0.9785714286,0.9743546828,0.1288497164,0.006463837912,0.1255453245,63
shanghai_composite,lag1_cost10,current_ladder,trade_deleveraging_2018,2018-01-24,2019-01-03,-0.03203315579,-0.3076591633,-0.3051291008,0.004816939562,229,-0.02578338995,-0.3028422238,-0.3002945584,0.004834542392,0.9976190476,0.9981170677,0.3155244917,0.0006923297159,0.3149303804,63
shanghai_composite,lag1_cost10,current_ladder,covid_2020,2020-01-13,2020-03-23,-0.04945374726,-0.1461691236,-0.1397414058,0,45,-0.04945374726,-0.1461691236,-0.1397414058,0,0.9761904762,0.9634408547,0.1200604145,0.005113646641,0.1156711084,63
