slot,market,construction,month_from,month_to,adjacent,n,rho,p,p_method,era
cn_mature,cn,trading_beta.v0,2024-07,2024-08,True,15,0.625,0.01482,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2024-08,2024-09,True,15,0.8393,0.00023,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2024-09,2024-10,True,15,0.3071,0.26802,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2024-10,2024-11,True,15,0.9893,1e-05,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2024-11,2024-12,True,15,0.9929,1e-05,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2024-12,2025-01,True,15,-0.0179,0.95463,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2025-01,2025-02,True,15,0.3643,0.18473,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2025-02,2025-03,True,15,0.8893,2e-05,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2025-03,2025-04,True,15,0.1107,0.69744,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2025-04,2025-05,True,15,0.9321,1e-05,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2025-05,2025-06,True,15,0.9714,1e-05,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2025-06,2025-07,True,15,0.2536,0.36147,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2025-07,2025-08,True,15,0.9571,1e-05,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2025-08,2025-09,True,15,0.6607,0.0088,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2025-09,2025-10,True,15,0.8321,0.00021,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2025-10,2025-11,True,15,0.8679,3e-05,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2025-11,2025-12,True,15,0.9321,1e-05,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2025-12,2026-01,True,15,0.2607,0.34709,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2026-01,2026-02,True,15,0.8821,4e-05,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2026-02,2026-03,True,15,0.9393,1e-05,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2026-03,2026-04,True,15,0.9286,3e-05,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2026-04,2026-05,True,15,0.5179,0.0502,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
