date,state,era,spy_20d,row_20d,spy_63d,row_63d,usd_20d,usd_63d,emfx_63d,vix,raw_state
2018-07-19,us_exceptionalism_outflow,post2010,0.01460293129998469,0.013922554431198497,0.045993471519839124,-0.06164473520223046,0.0041232516496532146,0.05977137212994443,-0.0835415174952444,12.869999885559082,us_exceptionalism_outflow
2018-07-20,us_exceptionalism_outflow,post2010,0.019836607989176525,0.034141469035180005,0.05373327967302277,-0.04457829511223499,-0.0025490511913910385,0.047538008868658777,-0.0846387781420621,12.859999656677246,us_exceptionalism_outflow
2018-07-23,us_exceptionalism_outflow,post2010,0.019873646522226007,0.017273745853699785,0.055851394424194734,-0.04198084948749947,0.0010582085297432542,0.04123077262028474,-0.07364753265002456,12.619999885559082,us_exceptionalism_outflow
2018-07-24,us_exceptionalism_outflow,post2010,0.03915122126785375,0.03911251226324519,0.07565013310473367,-0.02590716115978342,-0.000719418109916492,0.040572439162942286,-0.06561383372339284,12.40999984741211,us_exceptionalism_outflow
2018-07-25,us_exceptionalism_outflow,post2010,0.04569201151825619,0.051483027531278536,0.0821429923484489,-0.011071251890464984,-0.003349467262598216,0.032716720609229366,-0.06608804446634896,12.289999961853027,us_exceptionalism_outflow
2018-07-26,us_exceptionalism_outflow,post2010,0.05193999819134021,0.061529756638840194,0.06872551904916313,-0.026143484433374886,-0.008597233818947059,0.032490403658953726,-0.05225654137701892,12.140000343322754,us_exceptionalism_outflow
2018-07-27,us_exceptionalism_outflow,post2010,0.03887204558308954,0.05896128780944365,0.060488137929604946,-0.024513871486382177,-0.009030178187903304,0.03333226469793482,-0.06020257808641941,13.029999732971191,us_exceptionalism_outflow
2018-07-30,us_exceptionalism_outflow,post2010,0.031959447304326316,0.04660387712902114,0.06312460350794358,-0.016231851171743972,-0.005776161810228997,0.029890347487522506,-0.059291511255027976,14.260000228881836,us_exceptionalism_outflow
2018-07-31,us_exceptionalism_outflow,post2010,0.03483409285099448,0.05877916645756609,0.06646995449806559,-0.01081996247150363,-0.012590295119530692,0.027203185581054168,-0.0534251796102784,12.829999923706055,us_exceptionalism_outflow
2018-08-01,us_exceptionalism_outflow,post2010,0.03676650548075466,0.05132229358916729,0.07188931675436794,-0.01030047785578847,-0.0038147865113807855,0.024757971178940297,-0.048216392886049564,13.149999618530273,us_exceptionalism_outflow
2018-08-02,us_exceptionalism_outflow,post2010,0.033979158093525585,0.032327144406529396,0.08010849442323331,-0.016156898739381642,0.0016994774991834216,0.02711555514007502,-0.044435116079479434,12.1899995803833,us_exceptionalism_outflow
2018-08-03,us_exceptionalism_outflow,post2010,0.029699694517320907,0.02986202526884263,0.07087232853750525,-0.008833374793203896,0.0032776173887723026,0.025052154195011278,-0.054051659470360336,11.640000343322754,us_exceptionalism_outflow
2018-08-06,us_exceptionalism_outflow,post2010,0.02425331623537108,0.014429513004757144,0.07117533698746747,-0.007948799846127952,0.005206738131699806,0.02402866545900806,-0.04982046248973193,11.270000457763672,us_exceptionalism_outflow
2018-08-07,us_exceptionalism_outflow,post2010,0.023950874186506654,0.01710407639796152,0.07471272695750963,-0.0009745629272852607,0.0035219587242425465,0.017223557800527534,-0.047405990429975446,10.930000305175781,us_exceptionalism_outflow
2018-08-08,us_exceptionalism_outflow,post2010,0.03106274967873679,0.03482411577817923,0.0639769785544424,-0.006789233926867144,0.00250668538041543,0.020375751475895987,-0.0384809439643435,10.850000381469727,us_exceptionalism_outflow
