family,node,trigger_date,era,state,label_good,label_rot21,label_false_start_5d,accel_z,accel_z_5d,accel,rs_pctile_252d,persistence,washout_w,stochrsi_w_k,stochrsi_kd_diff,vix_pctile,spy_above_200d,tlt_ret_10d,flow_opp_out_20s,flow_same_out_20s,active_in_episodes,prev_same_node_outcome,sigma20
ep_onset_in,XLP,2017-05-25,2015-2019,STOPPED,0,0,0,1.7591674181079815,1.0088703166790058,0.020713487601413044,0.6175298804780877,0.55,0.0,69.47404769501217,-9.404890546318654,0.003968253968253968,1.0,0.023156855319530045,0,0,0,1.0,0.0174640162436191
ep_onset_in,XLP,2017-12-01,2015-2019,STOPPED,0,0,1,2.0759275949951146,1.0781461785916213,0.02373233398901041,0.8605577689243028,0.5,0.0,84.54590669184586,17.78925398093213,0.30357142857142855,1.0,0.010747656948832729,3,0,1,0.0,0.0316428271276684
ep_onset_in,XLP,2018-06-12,2015-2019,CLEAN_LIFTOFF,1,1,0,2.119743769571809,1.290553481610173,0.03426992370223664,0.6055776892430279,0.6,1.0,29.728757734101094,15.241113765340538,0.5357142857142857,1.0,-0.02145587279640948,0,0,2,0.0,0.0317792947917678
ep_onset_in,XLP,2020-03-31,2020-2022,DEAD_MONEY,0,0,0,3.0503997509324345,2.16028698590374,0.07565939531652925,0.3147410358565737,0.55,1.0,8.170848634686957,-3.693440397180982,0.9682539682539683,0.0,0.07837594387805868,0,0,0,1.0,0.2341294973576374
ep_onset_in,XLP,2021-12-14,2020-2022,STOPPED,0,0,1,1.8836512502531162,2.308142701536346,0.02648584265630817,0.8406374501992032,0.5,0.0,67.24093381936343,7.042531166134744,0.49007936507936506,1.0,-0.004662881173723821,2,0,4,0.0,0.04811701208087
ep_onset_in,XLP,2022-03-28,2020-2022,STOPPED,0,1,0,1.315548849527234,1.0110744281749202,0.019292818987614885,0.4581673306772908,0.6,0.0,25.38560039232028,0.41521901452368226,0.31746031746031744,1.0,-0.015178824876231678,0,0,7,0.0,0.0521865415615834
ep_onset_in,XLP,2022-10-26,2020-2022,CUSHIONED,1,1,1,1.8178094134009235,1.0475542323304075,0.04250286651027771,0.6852589641434262,0.45,1.0,15.412595842140233,8.707804539989244,0.7857142857142857,0.0,-0.03876405125741367,0,0,5,0.0,0.0604655788416995
ep_onset_in,XLP,2023-04-03,2023-2026,CUSHIONED,1,1,0,0.9643853052245195,1.0096733347290494,0.02278140029750774,0.6932270916334662,0.5,0.0,58.141301507223716,26.807978095061078,0.25396825396825395,1.0,0.009066710448780713,2,0,2,1.0,0.0332106052141177
ep_onset_in,XLP,2023-11-03,2023-2026,CLEAN_LIFTOFF,1,0,0,2.60371209790565,1.2493646199633603,0.03875099787445119,0.08764940239043825,0.45,1.0,22.938289741687942,11.688737403502342,0.10912698412698413,1.0,0.056353990265501475,2,0,1,1.0,0.0381475080699554
ep_onset_in,XLP,2024-08-19,2023-2026,CUSHIONED,1,1,0,1.6731123992136505,1.0373562673409862,0.022659721482279023,0.3147410358565737,0.5,0.0,97.06780813563624,7.2517518611288665,0.38293650793650796,1.0,-0.009210644466698947,2,0,1,1.0,0.0334201537293538
ep_onset_in,XLP,2025-01-30,2023-2026,CUSHIONED,1,1,0,2.27992020381302,1.978345823540866,0.029600451403644052,0.6175298804780877,0.4,1.0,13.780730756385722,7.578963432695134,0.5337301587301587,1.0,0.018211216608285064,0,0,3,1.0,0.0428440170674621
ep_onset_in,XLP,2025-04-16,2023-2026,DEAD_MONEY,0,0,1,0.37668558857448925,1.193000597374631,0.006336807829600229,0.5338645418326693,0.45,0.0,49.93099307306834,3.213275770552343,0.9841269841269841,0.0,-0.03412451914223724,5,0,0,1.0,0.0777773003049643
ep_onset_in,XLP,2026-01-14,2023-2026,CLEAN_LIFTOFF,1,1,0,3.8923122716514222,1.966906975749605,0.0695342806506859,0.9163346613545816,0.55,0.0,83.67374246421379,0.4830500055929008,0.5833333333333334,1.0,0.005349477647100365,0,0,1,0.0,0.0402390401537981
ep_onset_in,XLY,1999-10-05,1999-2014,CLEAN_LIFTOFF,1,0,0,1.856346724255875,1.1150760646228908,0.05450706641889938,,0.65,1.0,9.548296203347693,-3.4467368755797345,0.51010101010101,1.0,,1,0,0,0.0,0.0664792856123613
ep_onset_in,XLY,2000-03-16,1999-2014,DEAD_MONEY,0,0,0,3.6108598101456892,1.1757178062582438,0.11974855047797577,0.9800796812749004,0.6,1.0,13.641701130822725,5.838828748198594,0.07717041800643087,1.0,,0,0,1,1.0,0.1278739721643332
ep_onset_in,XLY,2000-07-07,1999-2014,STOPPED,0,0,1,2.5090283434241716,1.1835845606644373,0.10105250807814148,1.0,0.45,1.0,22.66182470770076,10.605283482190062,0.017994858611825194,1.0,,0,0,0,0.0,0.0802985446419427
ep_onset_in,XLY,2000-11-02,1999-2014,CUSHIONED,1,0,1,2.4254333924385962,1.4098494520074758,0.10282101629789614,0.8047808764940239,0.55,1.0,15.518003274248693,7.919342672175467,0.5529661016949152,0.0,,2,0,1,0.0,0.1212189685278806
ep_onset_in,XLY,2000-12-29,1999-2014,CUSHIONED,1,1,0,1.3322422733168877,1.091067402513812,0.0598936181092938,0.8804780876494024,0.5,0.0,85.28205069277185,0.3692988490735587,0.8154761904761905,0.0,,0,0,0,0.0,0.1000783939508026
ep_onset_in,XLY,2001-11-07,1999-2014,CUSHIONED,1,1,0,1.6561895646971831,1.1561974440167435,0.0718272195597201,0.30677290836653387,0.5,0.0,59.02947177817481,3.6927509166067978,0.871031746031746,0.0,,0,0,2,1.0,0.0793913526966739
ep_onset_in,XLY,2002-08-14,1999-2014,DEAD_MONEY,0,0,0,1.6135317725227727,1.1205831988106756,0.060523989923236474,0.9920318725099602,0.5,1.0,11.157675363187016,4.98123257646655,0.9087301587301587,0.0,0.05149744610590479,0,0,4,1.0,0.1442569393820991
ep_onset_in,XLY,2003-03-18,1999-2014,CUSHIONED,1,0,0,2.638570243532735,1.3282101566168827,0.09812101838154273,0.035856573705179286,0.5,0.0,26.914408528174146,3.7252420660429912,0.6865079365079365,0.0,-0.025026733374128307,0,0,2,0.0,0.1039820897787996
ep_onset_in,XLY,2004-04-01,1999-2014,STOPPED,0,0,0,0.8851699916012151,1.1662765071320913,0.018097362772620328,0.3147410358565737,0.55,0.0,1.964917535444293,-25.26403636076413,0.10714285714285714,1.0,-0.01428019417665316,3,0,2,1.0,0.0530473375964877
ep_onset_in,XLY,2004-05-26,1999-2014,STOPPED,0,0,0,2.0381177057129585,1.1894705700648172,0.04005800642967894,0.4103585657370518,0.55,1.0,2.5809364353147175,-3.3499292066071225,0.08928571428571429,1.0,0.02124541681158565,2,0,1,1.0,0.0523423719300564
ep_onset_in,XLY,2004-11-01,1999-2014,CLEAN_LIFTOFF,1,1,0,1.9917712747972285,1.4031857295444499,0.036629699740774124,0.6414342629482072,0.5,0.0,92.41986114083227,-1.1311861845873494,0.2757936507936508,1.0,0.0019573614317269783,2,0,2,0.0,0.0366800646166505
ep_onset_in,XLY,2005-05-19,1999-2014,CUSHIONED,1,0,0,2.956232215752685,1.187528348835008,0.05109398589262603,0.8047808764940239,0.5,1.0,18.086785927932922,8.45553378125856,0.16666666666666666,1.0,0.017331414466918993,0,0,2,1.0,0.0435646014488834
