sample,phase,horizon,asset,n,mean_return,median_return,positive_rate,mean_excess_spy,excess_hit_rate
modern_2013_2025,pre_election,jul_dec,QQQ,3,0.10224585022194987,0.11295579670057254,1.0,0.038628135881477954,1.0
modern_2013_2025,pre_election,jul_dec,SPY,3,0.06361771434047192,0.08040171634663351,1.0,0.0,0.0
modern_2013_2025,pre_election,jul_dec,XLK,3,0.11283109603707515,0.11191014105263863,1.0,0.04921338169660324,1.0
modern_2013_2025,pre_election,jul_dec,XLP,3,0.05348948736220612,0.07542139349005139,0.6666666666666666,-0.0101282269782658,0.3333333333333333
modern_2013_2025,pre_election,jul_dec,XLU,3,0.05001003885051688,0.06464830135403399,0.6666666666666666,-0.013607675489955043,0.3333333333333333
modern_2013_2025,pre_election,jul_dec,XLV,3,0.0427051090112861,0.03633305188236058,0.6666666666666666,-0.02091260532918582,0.3333333333333333
modern_2013_2025,pre_election,q2,DEF,3,0.00558347547871374,0.0015502407121235073,0.6666666666666666,-0.03812693250064558,0.0
modern_2013_2025,pre_election,q2,QQQ,3,0.07020977245528666,0.04170590623763282,1.0,0.02649936447592734,0.6666666666666666
modern_2013_2025,pre_election,q2,SPY,3,0.04371040797935932,0.042286582146470186,1.0,0.0,0.0
modern_2013_2025,pre_election,q2,XLK,3,0.07185894056253221,0.05832076845259215,1.0,0.028148532583172885,1.0
modern_2013_2025,pre_election,q2,XLP,3,0.008432523448135868,-0.0001850501219889944,0.3333333333333333,-0.035277884531223457,0.3333333333333333
modern_2013_2025,pre_election,q2,XLU,3,-0.016846882241421317,-0.02546371315237217,0.3333333333333333,-0.06055729022078064,0.0
modern_2013_2025,pre_election,q2,XLV,3,0.024363272277534282,0.02947907517827053,1.0,-0.01934713570182504,0.3333333333333333
expanded_1999_2025,election,apr_oct,DEF,7,0.04975344108435193,0.06811938998994482,0.8571428571428571,0.03026099113550443,0.5714285714285714
expanded_1999_2025,election,apr_oct,QQQ,7,0.011808180740130538,0.029575549001051193,0.5714285714285714,-0.007684269208716962,0.5714285714285714
expanded_1999_2025,election,apr_oct,SPY,7,0.0194924499488475,0.014422746619416671,0.7142857142857143,0.0,0.0
expanded_1999_2025,election,apr_oct,XLK,7,-0.005630610722824733,-0.009921055371789222,0.42857142857142855,-0.02512306067167223,0.42857142857142855
expanded_1999_2025,election,apr_oct,XLP,7,0.05494000340142448,0.05296962402862415,0.7142857142857143,0.03544755345257698,0.42857142857142855
expanded_1999_2025,election,apr_oct,XLU,7,0.09120816227612095,0.09874352568052602,0.8571428571428571,0.07171571232727346,0.7142857142857143
expanded_1999_2025,election,apr_oct,XLV,7,0.0007143922409186107,0.0016670780322214362,0.5714285714285714,-0.01877805770792889,0.42857142857142855
expanded_1999_2025,election,full_year,DEF,7,0.05485820654323429,0.09640593912056472,0.8571428571428571,0.0043328651868916246,0.42857142857142855
expanded_1999_2025,election,full_year,QQQ,7,0.045559025599202,0.10538539394123103,0.7142857142857143,-0.004966315757140667,0.42857142857142855
expanded_1999_2025,election,full_year,SPY,7,0.050525341356342665,0.11997971835036791,0.7142857142857143,0.0,0.0
expanded_1999_2025,election,full_year,XLK,7,0.02544078757335298,0.15011786236063673,0.7142857142857143,-0.025084553782989683,0.2857142857142857
expanded_1999_2025,election,full_year,XLP,7,0.08026237087586867,0.10110763648772103,0.8571428571428571,0.02973702951952601,0.2857142857142857
expanded_1999_2025,election,full_year,XLU,7,0.08298715565974166,0.16076330899885694,0.8571428571428571,0.03246181430339899,0.5714285714285714
expanded_1999_2025,election,full_year,XLV,7,-0.004895526789636577,0.012730053967478394,0.5714285714285714,-0.05542086814597924,0.2857142857142857
expanded_1999_2025,election,jul_dec,DEF,7,0.023184039185439875,0.038783418183645946,0.7142857142857143,0.0038319430747060235,0.2857142857142857
expanded_1999_2025,election,jul_dec,QQQ,7,-0.025204294350257155,0.06789462393693801,0.7142857142857143,-0.04455639046099101,0.2857142857142857
expanded_1999_2025,election,jul_dec,SPY,7,0.019352096110733852,0.06791036886698443,0.7142857142857143,0.0,0.0
expanded_1999_2025,election,jul_dec,XLK,7,-0.04049794614200627,0.031336845881347664,0.7142857142857143,-0.05985004225274012,0.2857142857142857
expanded_1999_2025,election,jul_dec,XLP,7,0.033249121741328325,0.022165372224921542,0.7142857142857143,0.013897025630594473,0.2857142857142857
expanded_1999_2025,election,jul_dec,XLU,7,0.0475770603723773,0.1275936745983759,0.5714285714285714,0.028224964261643448,0.5714285714285714
