sample,year,phase,horizon,asset,return,excess_spy
modern_2013_2025,2018,midterm,q2,SPY,0.03552438777206213,0.0
modern_2013_2025,2018,midterm,q2,QQQ,0.07423601824637172,0.03871163047430959
modern_2013_2025,2018,midterm,q2,DEF,0.018511008322047884,-0.017013379450014243
modern_2013_2025,2018,midterm,q2,XLV,0.029105366068315375,-0.006419021703746752
modern_2013_2025,2018,midterm,q2,XLP,-0.013319849598500633,-0.04884423737056276
modern_2013_2025,2018,midterm,q2,XLU,0.037497742486120034,0.0019733547140579066
modern_2013_2025,2018,midterm,q2,XLK,0.0656687936042466,0.030144405832184473
modern_2013_2025,2019,pre_election,full_year,SPY,0.31223854399622275,0.0
modern_2013_2025,2019,pre_election,full_year,QQQ,0.3896158246288872,0.07737728063266447
modern_2013_2025,2019,pre_election,full_year,DEF,0.24873895534623003,-0.06349958864999272
modern_2013_2025,2019,pre_election,full_year,XLV,0.20451754546204115,-0.1077209985341816
modern_2013_2025,2019,pre_election,full_year,XLP,0.27433973432653413,-0.037898809669688616
modern_2013_2025,2019,pre_election,full_year,XLU,0.2593132412985719,-0.05292530269765083
modern_2013_2025,2019,pre_election,full_year,XLK,0.4985586155451527,0.18632007154892993
modern_2013_2025,2019,pre_election,apr_oct,SPY,0.08401592319583084,0.0
modern_2013_2025,2019,pre_election,apr_oct,QQQ,0.10160324505412888,0.017587321858298033
modern_2013_2025,2019,pre_election,apr_oct,DEF,0.09046553318129869,0.006449609985467841
modern_2013_2025,2019,pre_election,apr_oct,XLV,0.041411035322299616,-0.04260488787353123
modern_2013_2025,2019,pre_election,apr_oct,XLP,0.10480700547200095,0.020791082276170103
modern_2013_2025,2019,pre_election,apr_oct,XLU,0.12194902960996834,0.037933106414137496
modern_2013_2025,2019,pre_election,apr_oct,XLK,0.13820574820242437,0.05418982500659353
modern_2013_2025,2019,pre_election,jul_dec,SPY,0.10899672811104444,0.0
modern_2013_2025,2019,pre_election,jul_dec,QQQ,0.14330417875480772,0.03430745064376328
modern_2013_2025,2019,pre_election,jul_dec,DEF,0.10653510900332153,-0.002461619107722912
modern_2013_2025,2019,pre_election,jul_dec,XLV,0.11588019902220048,0.006883470911156042
modern_2013_2025,2019,pre_election,jul_dec,XLP,0.09990612961810852,-0.00909059849293592
modern_2013_2025,2019,pre_election,jul_dec,XLU,0.10059251267598301,-0.008404215435061424
modern_2013_2025,2019,pre_election,jul_dec,XLK,0.18215773242614386,0.07316100431509942
modern_2013_2025,2019,pre_election,q2,SPY,0.042286582146470186,0.0
modern_2013_2025,2019,pre_election,q2,QQQ,0.04170590623763282,-0.0005806759088373692
modern_2013_2025,2019,pre_election,q2,DEF,0.030757383303914088,-0.011529198842556099
modern_2013_2025,2019,pre_election,q2,XLV,0.014007974094460973,-0.028278608052009213
modern_2013_2025,2019,pre_election,q2,XLP,0.04281922736655863,0.0005326452200884457
modern_2013_2025,2019,pre_election,q2,XLU,0.03328222354803567,-0.009004358598434514
modern_2013_2025,2019,pre_election,q2,XLK,0.05832076845259215,0.016034186306121967
modern_2013_2025,2020,election,full_year,SPY,0.18331624006113123,0.0
modern_2013_2025,2020,election,full_year,QQQ,0.484060983519097,0.30074474345796576
modern_2013_2025,2020,election,full_year,DEF,0.08504158359544278,-0.09827465646568845
modern_2013_2025,2020,election,full_year,XLV,0.1329524467135248,-0.050363793347606434
modern_2013_2025,2020,election,full_year,XLP,0.10110763648772103,-0.0822086035734102
modern_2013_2025,2020,election,full_year,XLU,0.0051052750540976355,-0.1782109650070336
modern_2013_2025,2020,election,full_year,XLK,0.4361877939215273,0.25287155386039606
modern_2013_2025,2020,election,apr_oct,SPY,0.27755547668594893,0.0
modern_2013_2025,2020,election,apr_oct,QQQ,0.4172710441186136,0.13971556743266467
modern_2013_2025,2020,election,apr_oct,DEF,0.15740544109610632,-0.12015003558984261
modern_2013_2025,2020,election,apr_oct,XLV,0.1571077202916975,-0.12044775639425143
modern_2013_2025,2020,election,apr_oct,XLP,0.1587803484064343,-0.11877512827951464
modern_2013_2025,2020,election,apr_oct,XLU,0.1449515469159508,-0.13260392976999813
modern_2013_2025,2020,election,apr_oct,XLK,0.38623553097372887,0.10868005428777994
modern_2013_2025,2020,election,jul_dec,SPY,0.22252160474175597,0.0
modern_2013_2025,2020,election,jul_dec,QQQ,0.2694211123520589,0.046899507610302926
modern_2013_2025,2020,election,jul_dec,DEF,0.14854193979383035,-0.07397966494792563
modern_2013_2025,2020,election,jul_dec,XLV,0.14280690338791246,-0.07971470135384351
modern_2013_2025,2020,election,jul_dec,XLP,0.16677530065050994,-0.055746304091246035
modern_2013_2025,2020,election,jul_dec,XLU,0.13013788261767245,-0.09238372212408352
modern_2013_2025,2020,election,jul_dec,XLK,0.24998999647203823,0.02746839173028226
modern_2013_2025,2020,election,q2,SPY,0.2016175696925353,0.0
modern_2013_2025,2020,election,q2,QQQ,0.3026814941339153,0.10106392444138002
modern_2013_2025,2020,election,q2,DEF,0.08361700549471984,-0.11800056419781546
modern_2013_2025,2020,election,q2,XLV,0.13449883991489386,-0.06711872977764144
modern_2013_2025,2020,election,q2,XLP,0.08494478965534813,-0.11667278003718717
modern_2013_2025,2020,election,q2,XLU,0.026910532465185044,-0.17470703722735026
modern_2013_2025,2020,election,q2,XLK,0.30369496951612573,0.10207739982359043
modern_2013_2025,2021,post_election,full_year,SPY,0.2872876474848951,0.0
modern_2013_2025,2021,post_election,full_year,QQQ,0.2741974397960669,-0.013090207688828182
modern_2013_2025,2021,post_election,full_year,DEF,0.20528647925607602,-0.08200116822881909
modern_2013_2025,2021,post_election,full_year,XLV,0.26038611628078967,-0.026901531204105433
modern_2013_2025,2021,post_election,full_year,XLP,0.17205514998752758,-0.11523249749736753
modern_2013_2025,2021,post_election,full_year,XLU,0.17703988862172526,-0.11024775886316984
modern_2013_2025,2021,post_election,full_year,XLK,0.3474414649949471,0.060153817510052
modern_2013_2025,2021,post_election,apr_oct,SPY,0.1662723688701504,0.0
modern_2013_2025,2021,post_election,apr_oct,QQQ,0.21262940440077438,0.04635703553062398
modern_2013_2025,2021,post_election,apr_oct,DEF,0.09107763416025483,-0.07519473470989557
modern_2013_2025,2021,post_election,apr_oct,XLV,0.15483632646801837,-0.01143604240213203
