span_id,start,end,regime,rotation_interpretation,boundary_type,spy_return,qqq_return,spy_max_drawdown,qqq_max_drawdown,qqq_minus_spy,rsp_return,iwm_return,smh_return,hyg_return,tlt_return,xlb_return,xlb_excess_spy,xle_return,xle_excess_spy,xlf_return,xlf_excess_spy,xli_return,xli_excess_spy,xlk_return,xlk_excess_spy,xlp_return,xlp_excess_spy,xlu_return,xlu_excess_spy,xlv_return,xlv_excess_spy,xly_return,xly_excess_spy,rank_universe_n,rank_universe,leaders,laggards,xlre_return,xlre_excess_spy,xlc_return,xlc_excess_spy
25,2019-04-30,2019-08-30,trade escalation / yield-curve scare,real estate/utilities/staples,ex_post_descriptive,-0.0005016680404735796,-0.008734329691289955,-0.06618365380505276,-0.10983210230032314,-0.008232661650816375,-0.023573230551542923,-0.05638563734676405,-0.015741916144233703,0.020171862689037034,0.2007848630051714,-0.007327734478394521,-0.006826066437920941,-0.12260366843188375,-0.12210200039141017,-0.03436260227853083,-0.03386093423805725,-0.0246191904636317,-0.024117522423158122,0.013988395532704256,0.014490063573177836,0.06017638514313739,0.06067805318361097,0.0744262009237473,0.07492786896422088,0.019342711383975697,0.019844379424449277,-0.0006473128190483957,-0.00014564477857481606,11,XLRE;XLU;XLP;XLV;XLK;XLY;XLB;XLC;XLI;XLF;XLE,XLRE 0.0969; XLU 0.0744; XLP 0.0602,XLI -0.0246; XLF -0.0344; XLE -0.1226,0.09689261920695524,0.09739428724742882,-0.008411903354063943,-0.007910235313590364
26,2019-08-30,2019-12-31,Fed cuts and trade stabilization,technology/financials/health,ex_post_descriptive,0.11108209951431136,0.13885222453426982,-0.03949622822400245,-0.04558737277391378,0.027770125019958458,0.11019021420917507,0.12108465658640322,0.2544353470171228,0.02928140937537327,-0.0721972192063598,0.09488637406364253,-0.01619572545066883,0.09620564959197697,-0.01487644992233439,0.155067268067288,0.04398516855297663,0.08644293018165694,-0.02463916933265442,0.16000970949377824,0.04892760997946688,0.05190296367820246,-0.0591791358361089,0.04871114386592912,-0.06237095564838224,0.14100610635369804,0.029924006839386674,0.0557863932493321,-0.05529570626497926,11,XLK;XLF;XLV;XLE;XLB;XLC;XLI;XLY;XLP;XLU;XLRE,XLK 0.1600; XLF 0.1551; XLV 0.1410,XLP 0.0519; XLU 0.0487; XLRE 0.0036,0.0036352083378832223,-0.10744689117642814,0.08766535309244983,-0.023416746421861534
27,2020-01-02,2020-02-19,late-cycle secular growth / falling-yield barbell,technology + utilities/real estate,ex_post_descriptive,0.0414623857164238,0.09631755767417327,-0.030787649690200092,-0.028897215687609834,0.05485517195774947,0.022662425864883984,0.015804059732734466,0.05232239193081045,0.0036301020100295567,0.06395022680955242,-0.002965572845486153,-0.04442795856190995,-0.0945857175102709,-0.1360481032266947,0.0016087900823569257,-0.039853595634066874,0.013492102086337221,-0.02797028363008658,0.10065328597090417,0.05919090025448037,0.03217034232181959,-0.00929204339460421,0.10029758798975852,0.05883520227333472,0.01870194283819404,-0.02276044287822976,0.04223459955982878,0.0007722138434049786,11,XLK;XLU;XLRE;XLC;XLY;XLP;XLV;XLI;XLF;XLB;XLE,XLK 0.1007; XLU 0.1003; XLRE 0.0793,XLF 0.0016; XLB -0.0030; XLE -0.0946,0.07927807579536283,0.037815690078939035,0.0611867767226586,0.019724391006234798
28,2020-02-19,2020-03-23,COVID liquidity and recession crash,staples/health relative preservation,ex_post_descriptive,-0.3371725013018423,-0.27916590444713507,-0.3371725013018423,-0.2855935363961887,0.058006596854707215,-0.39025880838899174,-0.4067695439347966,-0.3115927557653977,-0.21896141882327946,0.14234219660408165,-0.3620912370854388,-0.02491873578359649,-0.5606669436255737,-0.2234944423237314,-0.42789112436144594,-0.09071862305960365,-0.41580108127470694,-0.07862857997286465,-0.3115321883055684,0.025640312996273895,-0.24161104532186128,0.095561455979981,-0.35365567685400745,-0.016483175552165164,-0.27929471555121277,0.05787778575062952,-0.3350365337897322,0.002135967512110093,11,XLP;XLV;XLC;XLK;XLY;XLU;XLB;XLRE;XLI;XLF;XLE,XLP -0.2416; XLV -0.2793; XLC -0.2978,XLI -0.4158; XLF -0.4279; XLE -0.5607,-0.37816304408027757,-0.04099054277843528,-0.29778390435794044,0.039388596943901844
29,2020-03-23,2020-08-31,policy support / reopening / work-from-home boom,technology/discretionary/communications,ex_post_descriptive,0.5736583580430914,0.7329158551464017,-0.06989496100648596,-0.05066669716224137,0.15925749710331027,0.5610008101155837,0.5671534224791144,0.6732181837480362,0.26616872598473096,-0.016768511764385874,0.6515280552898548,0.0778696972467634,0.5319117682533443,-0.0417465897897471,0.4280775171694977,-0.1455808408735937,0.6025316197412705,0.028873261698179054,0.7598081590262975,0.1861498009832061,0.3590589315506072,-0.2145994264924842,0.3297274600670248,-0.2439308979760666,0.4569627575032913,-0.1166956005398001,0.7187198048183459,0.14506144677525445,11,XLK;XLY;XLB;XLI;XLC;XLE;XLV;XLRE;XLF;XLP;XLU,XLK 0.7598; XLY 0.7187; XLB 0.6515,XLF 0.4281; XLP 0.3591; XLU 0.3297,0.43476021430108913,-0.13889814374200227,0.5721182486610306,-0.0015401093820608391
30,2020-08-31,2020-10-30,growth consolidation / election uncertainty,temporary utilities rotation,ex_post_descriptive,-0.061443141405011614,-0.0864760817506467,-0.0944047052518262,-0.12749389400352695,-0.02503294034563508,-0.0305314673034891,-0.011300886714281422,-0.002394939870050905,-0.005319876398711343,-0.026379857917941174,0.007739036274820199,0.06918217767983181,-0.18113608556943217,-0.11969294416442056,-0.042648285268391706,0.01879485613661991,-0.021142859038226325,0.04030028236678529,-0.10072393593300999,-0.039280794527998375,-0.04497219375643868,0.01647094764857293,0.06188179371301983,0.12332493511803144,-0.05723028835477317,0.004212853050238441,-0.04540774958727534,0.016035391817736278,11,XLU;XLB;XLI;XLF;XLP;XLY;XLRE;XLV;XLC;XLK;XLE,XLU 0.0619; XLB 0.0077; XLI -0.0211,XLC -0.0622; XLK -0.1007; XLE -0.1811,-0.05226024133936069,0.009182900065650923,-0.06219987752569767,-0.0007567361206860523
31,2020-10-30,2020-12-31,vaccine and reopening trade,energy/financials,ex_post_descriptive,0.14985491150418384,0.16678556172175663,-0.01996868120752593,-0.03798224629945646,0.016930650217572785,0.1904501259491429,0.28468119574959627,0.2571663139524569,0.05374802849560867,0.004158233253225951,0.15149903507615647,0.0016441235719726333,0.3372871475289425,0.18743223602475867,0.24216819676745627,0.09231328526327243,0.17195635910824136,0.022101447604057523,0.1755618969031889,0.025706985399005067,0.09243031682422176,-0.05742459467996208,0.013624111801112893,-0.13623079970307095,0.12047744855896259,-0.029377462945221255,0.1266555885119134,-0.023199322992270455,11,XLE;XLF;XLK;XLI;XLB;XLC;XLY;XLV;XLP;XLRE;XLU,XLE 0.3373; XLF 0.2422; XLK 0.1756,XLP 0.0924; XLRE 0.0844; XLU 0.0136,0.08443914891414717,-0.06541576259003667,0.14168571637855365,-0.008169195125630191
32,2021-01-04,2021-05-07,reopening / fiscal impulse / rising inflation,energy/financials/materials,ex_post_descriptive,0.1483567824723464,0.08183402439023157,-0.0405972102181571,-0.10851555099352395,-0.06652275808211483,0.2119344048368066,0.1669965539505578,0.11304047655471772,0.016509137357502368,-0.11162251461876938,0.23069882498161887,0.08234204250927246,0.42779292851598094,0.27943614604363454,0.3049327280125511,0.1565759455402047,0.22293986377267716,0.07458308130033076,0.08931551944840321,-0.05904126302394319,0.06447812627839844,-0.08387865619394796,0.08856553138360046,-0.059791251088745945,0.10226316352444109,-0.04609361894790531,0.11593418459668436,-0.03242259787566204,11,XLE;XLF;XLB;XLI;XLRE;XLC;XLY;XLV;XLK;XLU;XLP,XLE 0.4278; XLF 0.3049; XLB 0.2307,XLK 0.0893; XLU 0.0886; XLP 0.0645,0.2095266826327864,0.061169900160439994,0.17957723654320223,0.03122045407085583
33,2021-05-07,2021-09-02,Delta concern and falling yields,real estate/technology/health,ex_post_descriptive,0.07711731268262034,0.13956073653714918,-0.03958571937682509,-0.051795366700905676,0.062443423854528834,0.040899596217378376,0.01763194136713464,0.1127666870929116,0.020877720466297767,0.07968331958543384,-0.017718430699872778,-0.09483574338249312,-0.07887843467421385,-0.1559957473568342,0.018045525275754315,-0.05907178740686603,0.0020196134074945693,-0.07509769927512577,0.14378896867181612,0.06667165598919578,0.038980991814036026,-0.03813632086858432,0.06926404888989679,-0.007853263792723553,0.10609673477399206,0.02897942209137172,0.035369784125801385,-0.04174752855681896,11,XLRE;XLK;XLV;XLC;XLU;XLP;XLY;XLF;XLI;XLB;XLE,XLRE 0.1575; XLK 0.1438; XLV 0.1061,XLI 0.0020; XLB -0.0177; XLE -0.0789,0.15754826016023626,0.08043094747761592,0.09381255942600797,0.016695246743387626
34,2021-09-02,2021-10-04,inflation and yield shock,energy; rate-sensitive defensives fail,ex_post_descriptive,-0.051141400251308866,-0.07200057141016925,-0.051141400251308866,-0.07615370273917466,-0.02085917115886038,-0.0378603188224117,-0.035336483895709536,-0.07842994489986377,-0.006947083130316445,-0.02926378053894252,-0.06481474519047059,-0.013673344939161725,0.13261360599987282,0.18375500625118169,-0.008516552159296475,0.04262484809201239,-0.05959730951049791,-0.008455909259189043,-0.06558021429450112,-0.01443881404319225,-0.0506195869072803,0.0005218133440285655,-0.06878311037002749,-0.017641710118718623,-0.07950359040658983,-0.028362190155280964,-0.021737800378087813,0.029403599873221054,11,XLE;XLF;XLY;XLP;XLI;XLB;XLK;XLC;XLU;XLRE;XLV,XLE 0.1326; XLF -0.0085; XLY -0.0217,XLU -0.0688; XLRE -0.0718; XLV -0.0795,-0.07178352757892337,-0.0206421273276145,-0.0659138260646891,-0.01477242581338023
