ticker,as_of,close,return_1d,return_5d,return_10d,return_20d,return_63d,return_126d,distance_50d,distance_200d,drawdown_252d,source
SPY,2026-07-13,749.1699829101562,-0.007656174850540931,-0.0028086017256355733,0.027682125881170583,0.018081765701204233,0.10543669942551404,0.09229930123249419,0.011443116974079182,0.08331789254194155,-0.011151054591395315,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
UNH,2026-07-13,429.0899963378906,0.010527062484350314,0.026555674448786704,0.0028044162012965668,0.06408764065913042,0.41800266891173665,0.25384354855279034,0.08046736151301803,0.27639229829828427,-0.00599980629594743,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
VEEV,2026-07-13,196.80999755859375,0.03518831587010407,0.02499871459340608,0.1485177220914693,0.2182605623073819,0.2996764648861421,-0.18390282563461324,0.16245963709604538,-0.06629226773257968,-0.35729215343857923,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
WDC,2026-07-13,555.5499877929688,-0.04641349459490185,-0.03794207970422059,-0.05268995442215807,0.0496136538679528,0.6180730577380849,1.962280447961175,0.011804900926539297,0.8268289607981927,-0.25552443303873185,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
WM,2026-07-13,236.7100067138672,0.014485942040405986,0.03375845545706979,0.049572154458755735,0.08190508696756815,0.03611163003058082,0.09557101375418409,0.07149042838016073,0.07380672085181383,-0.031758974376578486,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
XBI,2026-07-13,155.33999633789062,-0.023203184743321725,-0.03401530566350541,-0.0002574883747239465,0.1714063210887753,0.20127070569548455,0.25691123812157723,0.10918438760513127,0.23957028910134337,-0.05441929941463386,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
XLE,2026-07-13,56.7400016784668,0.030137977346184286,0.06794655632932067,0.05386332685104045,0.0005111508785013985,0.0036739848109301754,0.23571626476671304,0.005711779624895552,0.11251466688936618,-0.08648984280788252,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
XLF,2026-07-13,56.06999969482422,0.006462046603262328,-0.0012468773705959224,0.04666791141015336,0.06929705265568575,0.10826103977261758,0.011728785027661726,0.06481105893178385,0.07345990648358547,-0.0012468773705959224,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
XLP,2026-07-13,84.58999633789062,0.005587179932987851,0.0058263718508901885,-0.0014166302429347022,-0.0010914011035098037,0.03407711524103929,0.09199853604131536,0.010361162420345238,0.045779872283292056,-0.048368304120320116,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
XLV,2026-07-13,161.41000366210938,0.0035439401715806618,-0.0033959189241669074,0.006673365028422973,0.05212450123586376,0.1005489341239516,0.029524144045082634,0.06706030654823936,0.07754730140428312,-0.018426165983404963,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
