cohort,segment,feature,label,n_sessions,winner_mean_percentile,winner_percentile_ci_low,winner_percentile_ci_high,winner_top_quartile_rate,top_quartile_null_rate,top_quartile_enrichment,top1_exact,top1_exact_ci_low,top1_exact_ci_high,top1_economic_tie,top3_recall,mean_cross_sectional_rank_corr,permutation_p_one_sided,bh_q
signed_sensitivity,development,signed_abs_net_share,Prior-day absolute quote-signed net premium / gross,60,0.59375000,0.53794643,0.65122042,0.31666667,0.25000000,1.26666667,0.20000000,0.09995902,0.30360926,0.23333333,0.40000000,0.04166667,0.20639680,0.86131934
signed_sensitivity,development,signed_buy_share,Prior-day quote-signed buy-premium share,60,0.56875000,0.50833333,0.63710173,0.28333333,0.25000000,1.13333333,0.16666667,0.06896552,0.26669643,0.20000000,0.36666667,-0.03531746,0.43778111,0.86131934
signed_sensitivity,development,signed_delta_share,Prior-day net delta proxy / total delta-proxy magnitude,60,0.55416667,0.48411872,0.62896985,0.20000000,0.25000000,0.80000000,0.10000000,0.01754386,0.19299660,0.13333333,0.33333333,-0.03214286,0.57421289,0.86131934
signed_sensitivity,development,signed_quality,Prior-day non-excluded trade share,60,0.51041667,0.45081967,0.56557638,0.21666667,0.25000000,0.86666667,0.13333333,0.05084746,0.22580645,0.13333333,0.26666667,0.00595238,0.92603698,0.92603698
signed_sensitivity,holdout,signed_gross_ratio20,Prior-day quote-signed gross premium / prior-20 median,40,0.59687500,0.53571429,0.65517241,0.35000000,0.25000000,1.40000000,0.10000000,0.02083333,0.20930233,0.10000000,0.45000000,-0.02976190,0.23638181,0.52953523
signed_sensitivity,holdout,signed_net_share,Prior-day quote-signed net premium / gross premium,40,0.57187500,0.50693109,0.63141026,0.25000000,0.25000000,1.00000000,0.15000000,0.05259784,0.26470588,0.15000000,0.40000000,-0.07440476,0.44127936,0.52953523
signed_sensitivity,holdout,signed_abs_net_share,Prior-day absolute quote-signed net premium / gross,40,0.57500000,0.49702199,0.65178571,0.27500000,0.25000000,1.10000000,0.15000000,0.04253103,0.28127003,0.15000000,0.45000000,0.03333333,0.41629185,0.52953523
signed_sensitivity,holdout,signed_buy_share,Prior-day quote-signed buy-premium share,40,0.57187500,0.50832031,0.63068182,0.25000000,0.25000000,1.00000000,0.15000000,0.04996951,0.27272727,0.15000000,0.40000000,-0.07440476,0.43528236,0.52953523
signed_sensitivity,holdout,signed_delta_share,Prior-day net delta proxy / total delta-proxy magnitude,40,0.59687500,0.53195858,0.67046147,0.30000000,0.25000000,1.20000000,0.20000000,0.06894592,0.34043762,0.20000000,0.45000000,-0.12142857,0.21789105,0.52953523
signed_sensitivity,holdout,signed_quality,Prior-day non-excluded trade share,40,0.50625000,0.41846038,0.59066201,0.15000000,0.25000000,0.60000000,0.05000000,0.00000000,0.13157895,0.07500000,0.30000000,-0.07023810,0.90554723,0.90554723
