cohort,segment,selector,n_sessions,n_called,coverage,exact_hit_called,exact_hit_all,exact_ci_low,exact_ci_high,economic_tie_hit_called,tie_ci_low,tie_ci_high,top3_recall_called,clear_sessions_called,clear_exact_hit_called,mean_selected_resid,selected_resid_ci_low,selected_resid_ci_high,median_selected_resid,mean_selected_raw_net10bp,positive_resid_rate,mean_oracle_regret,mean_mae,mean_mfe,mean_vwap_hold,mean_trend_efficiency,mean_rescue_fraction,forgiving_rate
options_magnitude,full,PRIOR_RS5,106,106,1.00000000,0.11320755,0.11320755,0.05940594,0.16666667,0.12264151,0.06796117,0.17759513,0.27358491,77,0.12987013,0.00365811,-0.00220287,0.00967043,0.00064103,0.00321416,0.51886792,0.03502759,-0.02329219,0.02778587,0.52981132,0.02358550,0.88534107,0.26415094
options_magnitude,full,PREMARKET_RS,106,106,1.00000000,0.09433962,0.09433962,0.04672897,0.14423325,0.10377358,0.04761905,0.15890654,0.26415094,77,0.10389610,0.00063155,-0.00374325,0.00506358,-0.00046897,-0.00039480,0.48113208,0.03805416,-0.02308947,0.02335820,0.52654088,-0.00134361,0.88098694,0.29245283
options_magnitude,full,GAP_RS,106,106,1.00000000,0.09433962,0.09433962,0.04629630,0.14705882,0.10377358,0.05504587,0.15740741,0.24528302,77,0.10389610,0.00027225,-0.00428033,0.00472336,-0.00049561,-0.00047205,0.47169811,0.03841345,-0.02337474,0.02343978,0.52767296,-0.00349396,0.87699565,0.29245283
options_magnitude,full,FIRST15_RAW,106,106,1.00000000,0.09433962,0.09433962,0.02912621,0.16984532,0.09433962,0.03703704,0.16822430,0.19811321,77,0.09090909,0.00201446,-0.00293497,0.00703458,-0.00034793,0.00284735,0.46226415,0.03667125,-0.02052100,0.02306147,0.59056604,0.01433833,0.88733672,0.24528302
options_magnitude,full,FIRST15_BETA_RS,106,106,1.00000000,0.10377358,0.10377358,0.03772703,0.18446602,0.10377358,0.03921569,0.18097403,0.18867925,77,0.09090909,0.00251783,-0.00243842,0.00775518,-0.00015561,0.00310905,0.47169811,0.03616788,-0.02031109,0.02337886,0.61584906,0.01740190,0.89423077,0.25471698
options_magnitude,full,FIRST15_RVOL,106,106,1.00000000,0.13207547,0.13207547,0.07547170,0.19047619,0.15094340,0.08653846,0.21568627,0.24528302,77,0.16883117,0.00303608,-0.00072409,0.00719362,0.00174571,0.00281081,0.54716981,0.03564962,-0.01972826,0.02603587,0.55295597,0.01637058,0.87826560,0.32075472
options_magnitude,full,OPENING_DOLLAR_SHARE,106,106,1.00000000,0.03773585,0.03773585,0.00900901,0.07619048,0.03773585,0.00900901,0.07694175,0.14150943,77,0.01298701,0.00036988,-0.00203857,0.00273336,-0.00120218,0.00037788,0.46226415,0.03831582,-0.02210363,0.02140141,0.53245283,0.00844775,0.88733672,0.18867925
options_magnitude,full,PV_CONFIRM_RS,106,106,1.00000000,0.08490566,0.08490566,0.02912621,0.14545896,0.08490566,0.02912621,0.14423077,0.15094340,77,0.07792208,0.00161070,-0.00345719,0.00661400,-0.00026498,0.00227598,0.46226415,0.03707501,-0.02018376,0.02268095,0.60603774,0.01460857,0.88316401,0.22641509
options_magnitude,full,PV_CONFIRM_RVOL,106,106,1.00000000,0.07547170,0.07547170,0.02777141,0.13515482,0.08490566,0.02830189,0.15458090,0.17924528,77,0.07792208,0.00035210,-0.00358022,0.00439980,-0.00133984,0.00111306,0.45283019,0.03833361,-0.01901316,0.02207316,0.58138365,0.00913014,0.88388970,0.21698113
options_magnitude,full,OPT_PREMIUM_ANOM,106,106,1.00000000,0.11320755,0.11320755,0.05607477,0.17592593,0.12264151,0.06542056,0.18522845,0.19811321,77,0.14285714,0.00374309,-0.00149246,0.00936915,0.00083721,0.00313066,0.56603774,0.03494262,-0.02017517,0.02469432,0.54930818,0.02196551,0.87173440,0.29245283
options_magnitude,full,PV_CONFIRM_RS_OPT_ATTN,106,83,0.78301887,0.07228916,0.05660377,0.02298851,0.13255020,0.07228916,0.02247191,0.13581650,0.08433735,64,0.07812500,0.00081681,-0.00553601,0.00693260,-0.00170711,0.00139088,0.43373494,0.03869160,-0.02104437,0.02261671,0.59839357,0.01039631,0.88206673,0.25301205
options_magnitude,development,ALWAYS_NVDA,63,63,1.00000000,0.01587302,0.01587302,0.00000000,0.04840693,0.03174603,0.00000000,0.08064516,0.01587302,45,0.02222222,-0.00148595,-0.00399174,0.00087599,-0.00013546,-0.00084371,0.49206349,0.03571518,-0.01284200,0.01257677,0.52380952,0.00944118,0.86111111,0.12698413
options_magnitude,development,DEV_MODAL_WINNER,63,63,1.00000000,0.12698413,0.12698413,0.06776836,0.17910448,0.14285714,0.07689394,0.20967742,0.12698413,45,0.11111111,0.00229365,-0.00172040,0.00657249,0.00061227,0.00366002,0.52380952,0.03193557,-0.01772920,0.02022306,0.55153439,0.03683907,0.88217338,0.31746032
options_magnitude,development,PRIOR_DAY_WINNER,63,63,1.00000000,0.09523810,0.09523810,0.03125000,0.16923077,0.11111111,0.04761905,0.18336538,0.14285714,45,0.13333333,0.00149680,-0.00460306,0.00699645,0.00271671,0.00169514,0.53968254,0.03273242,-0.01992716,0.02124567,0.50793651,0.00975876,0.88492063,0.31746032
options_magnitude,development,PRIOR_RS5,63,63,1.00000000,0.11111111,0.11111111,0.04685697,0.19049370,0.11111111,0.04543758,0.18333333,0.30158730,45,0.11111111,0.00207095,-0.00576211,0.00931089,0.00060286,0.00273610,0.52380952,0.03215828,-0.01987044,0.02110443,0.51597884,0.02050794,0.88522589,0.23809524
options_magnitude,development,PREMARKET_RS,63,63,1.00000000,0.11111111,0.11111111,0.04615385,0.19047619,0.12698413,0.06060606,0.20312500,0.30158730,45,0.13333333,0.00089879,-0.00400972,0.00570259,-0.00148250,-0.00010446,0.46031746,0.03333043,-0.02004195,0.02105248,0.50878307,0.00041641,0.86996337,0.23809524
