date,winner,raw_winner,after_return,after_resid,runner_up_resid,leader_margin,clear_leader,forgiving,mae,mfe,vwap_hold,trend_efficiency,rescue_fraction,first15_resid,rvol15,first15_rs_pick,pv_confirm_pick
2025-11-25,ORCL,ORCL,0.05647324,0.04141307,0.01342118,0.02799189,True,True,-0.00445136,0.06945189,0.97333333,0.25645522,0.90384615,-0.03403983,2.61287369,AAPL,AAPL
2025-11-26,AVGO,AVGO,0.02898513,0.02459458,0.01848166,0.00611292,True,True,-0.00046625,0.03577164,0.98666667,0.21921147,1.00000000,0.00058379,1.93947805,MRVL,MRVL
2025-12-01,AAPL,MU,0.02473958,0.02111469,0.01977628,0.00133842,False,True,-0.00122975,0.02510127,0.93333333,0.43686530,1.00000000,-0.00530279,0.67430440,ADBE,ADBE
2025-12-02,AMAT,AMAT,0.01900265,0.01869092,0.01560542,0.00308550,False,True,-0.01320588,0.02518292,0.78666667,0.15717779,1.00000000,0.01123207,0.95409612,PLTR,PLTR
2025-12-03,ORCL,PLTR,0.03492949,0.02724041,0.02280357,0.00443684,True,True,-0.00075988,0.03602571,0.93333333,0.28115800,1.00000000,0.00259883,0.99190783,TSLA,TSLA
2025-12-05,MU,MU,0.02976617,0.02808641,0.02146989,0.00661652,True,True,-0.00240995,0.04461669,0.94666667,0.18287803,0.88461538,0.00292276,0.81847660,ADBE,ADBE
2025-12-08,MRVL,MRVL,0.01288404,0.02331943,0.01461298,0.00870646,True,False,-0.02081269,0.02180266,0.58666667,0.05991765,1.00000000,0.00304957,4.45836183,MU,MU
2025-12-09,ADBE,MU,0.01714539,0.01537143,0.01135592,0.00401550,True,True,-0.00025105,0.02717271,0.96000000,0.23166439,0.75000000,-0.00806160,1.79228383,LRCX,LRCX
2025-12-10,MU,MU,0.03862661,0.02331955,0.02131066,0.00200889,False,True,-0.01334803,0.04244596,0.86666667,0.27654992,1.00000000,-0.00396884,0.68593438,ANET,ANET
2025-12-11,ORCL,ORCL,0.03417070,0.02835437,0.02331798,0.00503639,True,True,-0.01487492,0.05055391,0.97333333,0.14935009,1.00000000,0.01127443,6.60157937,ADBE,ADBE
2025-12-12,TSLA,TSLA,0.00219372,0.02875245,0.02858391,0.00016854,False,False,-0.03591814,0.01066303,0.37333333,0.01401709,0.96153846,0.02290323,1.39615647,TSLA,TSLA
2025-12-15,ANET,ANET,0.01369201,0.02452422,0.01785968,0.00666455,True,True,-0.00314111,0.02577320,0.93333333,0.10795022,0.98076923,-0.00507988,1.07014875,TSLA,TSLA
2025-12-16,TSLA,TSLA,0.03529909,0.02721767,0.01989021,0.00732747,True,True,-0.00830670,0.03889241,0.96000000,0.26868572,1.00000000,-0.00073649,1.46301078,AVGO,AVGO
2025-12-17,ADBE,ADBE,0.01067788,0.01903892,0.01058340,0.00845552,True,False,-0.00246632,0.02017250,0.54666667,0.11673722,0.96153846,0.00945965,0.61526933,CRM,CRM
2025-12-18,AAPL,AAPL,0.01472727,0.01354095,0.00959837,0.00394257,True,True,-0.00052198,0.01864211,0.90666667,0.17051145,0.88461538,-0.01814100,1.90210476,MU,MU
2025-12-19,ANET,ANET,0.03161869,0.02971215,0.01682921,0.01288294,True,True,-0.00306748,0.04231556,1.00000000,0.30816405,1.00000000,0.00629372,2.75502067,MU,MU
2025-12-22,ORCL,ORCL,0.02758424,0.02779540,0.02076520,0.00703020,True,True,-0.00023311,0.02981170,0.92000000,0.24471282,1.00000000,-0.01457460,1.12667871,PLTR,PLTR
2025-12-23,NVDA,NVDA,0.02425030,0.01939993,0.01682090,0.00257903,False,True,-0.00671214,0.02484573,0.97333333,0.33697385,1.00000000,0.00478325,0.72951578,MRVL,MRVL
2025-12-26,NOW,NOW,0.00947976,0.01103301,0.01098232,0.00005069,False,True,-0.00052483,0.01344880,0.89333333,0.17693155,0.76923077,-0.00099938,0.41260831,NVDA,NVDA
2025-12-29,MU,MU,0.02575182,0.03093529,0.00739098,0.02354432,True,True,-0.01449629,0.02623968,0.96000000,0.23940651,1.00000000,0.01521834,1.04457705,ANET,ANET
2025-12-30,AMZN,AMZN,0.00601428,0.00670628,0.00537243,0.00133384,False,False,-0.00082215,0.00722631,0.48000000,0.16517523,1.00000000,-0.00027251,0.56869123,MU,MU
2025-12-31,MU,CRM,-0.00581679,0.01015623,0.00990546,0.00025077,False,False,-0.01017067,0.00550331,0.53333333,-0.06467353,0.82692308,-0.01505345,0.97648614,AMD,
2026-01-02,MU,MU,0.03256111,0.06110167,0.04483555,0.01626612,True,True,-0.00188281,0.03341574,1.00000000,0.23995560,1.00000000,0.03431539,2.30941709,MU,MU
2026-01-05,AMAT,AMAT,0.02012917,0.02097961,0.01790103,0.00307857,False,False,-0.00186581,0.03243631,0.98666667,0.21007617,0.73076923,0.01212952,4.00503805,KLAC,KLAC
2026-01-06,MU,MU,0.06099935,0.04660187,0.01917368,0.02742818,True,True,-0.00105065,0.06470752,1.00000000,0.30841148,1.00000000,0.01447189,2.19435870,AMAT,AMAT
2026-01-07,PANW,PANW,0.02543897,0.02620217,0.01392179,0.01228038,True,True,-0.00111011,0.03760313,1.00000000,0.27497027,0.92307692,0.00226784,1.63137428,GOOGL,GOOGL
2026-01-08,QCOM,QCOM,0.02499930,0.02199722,0.01867495,0.00332228,False,True,-0.00679237,0.03892224,0.94666667,0.20564396,1.00000000,0.00080164,1.67501251,IBM,IBM
2026-01-09,ORCL,ORCL,0.04536842,0.03587174,0.02118756,0.01468418,True,True,-0.00300000,0.05357895,0.96000000,0.32285370,1.00000000,-0.01084651,0.37678836,LRCX,LRCX
2026-01-12,IBM,IBM,0.03559581,0.03354984,0.02244723,0.01110260,True,True,-0.00490977,0.03612659,0.86666667,0.42973287,1.00000000,-0.00632824,1.14686789,AVGO,AVGO
2026-01-13,ANET,ANET,0.02658503,0.03158273,0.01537008,0.01621264,True,True,-0.01394430,0.03251037,0.90666667,0.16908018,1.00000000,0.02086931,1.57117884,AMD,AMD
2026-01-14,AMD,AMD,0.03738253,0.03731341,0.01925432,0.01805908,True,True,-0.00169393,0.03998144,0.93333333,0.17628444,0.96153846,-0.00064822,1.19237098,CRM,CRM
2026-01-15,ANET,ANET,0.00973951,0.02221195,0.01070505,0.01150689,True,True,0.00000000,0.03068718,0.82666667,0.07293271,0.80769231,0.01359107,0.97477241,AMD,AMD
2026-01-16,ORCL,ORCL,0.02288054,0.03167984,0.01982066,0.01185918,True,True,-0.00165917,0.02692143,0.81333333,0.24046845,1.00000000,-0.01313598,1.87813079,MU,MU
2026-01-20,LRCX,AMD,0.00847650,0.02703406,0.02649852,0.00053554,False,True,-0.00435157,0.02510086,0.70666667,0.05724291,0.92307692,0.00202573,0.86306107,MU,MU
2026-01-21,AMD,AMD,0.04157280,0.02111464,0.00819438,0.01292026,True,False,-0.00112641,0.05506884,0.65333333,0.18061305,0.92307692,0.01520533,1.86056372,AMD,AMD
2026-01-22,MU,MU,0.04681288,0.04512031,0.03291423,0.01220609,True,True,-0.00726679,0.04731313,0.96000000,0.29875825,1.00000000,-0.03455334,1.68354320,ANET,ANET
2026-01-23,KLAC,KLAC,0.03572138,0.02760049,0.02241012,0.00519037,True,True,-0.00054082,0.03574876,1.00000000,0.31325417,1.00000000,-0.01712816,1.14566622,CRM,CRM
2026-01-26,NOW,NOW,0.01959465,0.01907450,0.01423972,0.00483478,True,True,-0.00329070,0.02183831,0.92000000,0.19621647,0.98076923,-0.00767936,1.66900903,ANET,ANET
2026-01-27,AMZN,LRCX,0.02124463,0.01559968,0.01303991,0.00255977,False,True,-0.00371468,0.02207939,0.98666667,0.26140099,1.00000000,0.00085464,0.81871696,AMAT,AMAT
2026-01-28,MU,QCOM,0.00027582,0.01324201,0.01038527,0.00285674,False,True,-0.02691521,0.00889512,0.88000000,0.00149914,1.00000000,0.02665991,1.37629902,MU,MU
2026-01-29,META,META,0.02216410,0.02071010,0.01962993,0.00108017,False,False,-0.01386034,0.02569319,0.69333333,0.16082062,1.00000000,-0.01424631,9.26688497,LRCX,LRCX
2026-01-30,TSLA,AAPL,0.01511044,0.02780942,0.02747355,0.00033588,False,True,-0.00355956,0.03693925,0.77333333,0.09081610,0.80769231,-0.00492238,1.13970250,LRCX,LRCX
2026-02-02,MU,MU,0.04479072,0.03172861,0.03115868,0.00056993,False,True,-0.00288741,0.05576767,1.00000000,0.24926760,0.80769231,-0.00038830,1.05139994,AMD,AMD
2026-02-03,PLTR,PLTR,0.01256333,0.03839975,0.02887115,0.00952860,True,False,-0.01802091,0.02488296,0.36000000,0.04179842,0.90384615,-0.04043241,5.25382529,META,ADBE
2026-02-04,CRM,ADBE,0.05197341,0.06437075,0.06270895,0.00166179,False,True,-0.01181933,0.05885395,0.94666667,0.26698832,1.00000000,-0.01806195,2.24807012,QCOM,QCOM
2026-02-05,MRVL,GOOGL,0.01518053,0.03653035,0.03223896,0.00429139,True,False,-0.03330142,0.02283917,0.77333333,0.07046009,1.00000000,-0.00751436,1.14409664,GOOGL,GOOGL
2026-02-06,AMZN,LRCX,0.03052724,0.01936571,0.01754068,0.00182503,False,False,-0.01347511,0.03606429,0.96000000,0.15318115,1.00000000,-0.00159860,7.31638583,AMD,AMD
2026-02-09,PANW,PANW,0.04362859,0.03530736,0.02602216,0.00928520,True,True,-0.00540580,0.04828000,0.96000000,0.30001470,1.00000000,-0.00799023,1.58749355,ORCL,ORCL
2026-02-10,LRCX,LRCX,0.01642213,0.02546564,0.01946920,0.00599644,True,True,-0.01175573,0.02416207,0.82666667,0.11090640,0.90384615,-0.02170060,0.60753123,TSLA,NOW
2026-02-11,MU,MU,0.02249907,0.03362389,0.01140400,0.02221989,True,False,-0.03682571,0.03191728,0.68000000,0.09674744,1.00000000,0.01810230,1.22631899,KLAC,KLAC
2026-02-12,ORCL,ADBE,-0.00407332,0.03792304,0.03037532,0.00754772,False,False,-0.02940428,0.01221996,0.68000000,-0.02167948,1.00000000,-0.00212429,0.54991809,MU,MU
2026-02-13,MU,MU,0.03603150,0.02752782,0.01521040,0.01231742,True,True,-0.00712075,0.05900410,0.96000000,0.16701461,0.90384615,-0.01587487,0.80736242,AMD,CRM
2026-02-17,AVGO,AVGO,0.03224205,0.02556227,0.01929533,0.00626694,True,True,-0.01843289,0.04189294,0.96000000,0.18774236,1.00000000,0.00370433,0.70660587,AMAT,AMAT
2026-02-18,MU,MU,0.03850993,0.02773228,0.01946531,0.00826697,True,True,-0.00826446,0.05550759,0.93333333,0.21394933,0.75000000,0.01051627,0.50372429,PLTR,PLTR
2026-02-19,AMD,AMD,0.01806807,0.01644022,0.01628378,0.00015644,False,False,-0.00753804,0.02152152,0.58666667,0.13385838,0.98076923,-0.00283179,0.45466966,PLTR,PLTR
2026-02-20,AAPL,AAPL,0.01812375,0.01511623,0.01071629,0.00439994,True,True,-0.00531014,0.01873942,0.98666667,0.17875713,0.98076923,-0.00054560,0.93618139,PANW,PANW
2026-02-23,PLTR,PLTR,0.02206205,0.03110458,0.01258585,0.01851873,True,True,-0.00278613,0.02515339,0.88000000,0.12997372,0.94230769,-0.02465466,1.39777432,AMAT,QCOM
2026-02-24,AMD,AMD,0.02996146,0.01933568,0.01198544,0.00735025,True,True,-0.00385356,0.04388247,0.94666667,0.16561846,0.88461538,-0.02803297,3.20669881,CRM,CRM
2026-02-25,CRM,CRM,0.03773789,0.03330917,0.02987771,0.00343145,False,True,0.00000000,0.04130623,1.00000000,0.25227153,1.00000000,0.00640676,1.15291873,AMAT,AMAT
2026-02-26,CRM,CRM,0.02098904,0.02894173,0.02397011,0.00497162,True,True,-0.00675745,0.02915430,0.81333333,0.10980711,1.00000000,-0.00162171,3.01716512,IBM,IBM
2026-02-27,ANET,ANET,0.04273437,0.03097634,0.03093180,0.00004454,False,True,-0.00218750,0.04359375,0.98666667,0.33293162,1.00000000,0.00116684,0.69383371,GOOGL,GOOGL
2026-03-02,ORCL,ORCL,0.02967769,0.01507457,0.01445054,0.00062403,False,True,-0.00559045,0.03644144,1.00000000,0.20847070,1.00000000,0.00793833,0.81628352,NOW,NOW
2026-03-03,NOW,NOW,0.03920308,0.03399989,0.02002020,0.01397969,True,True,-0.01028278,0.05508630,0.89333333,0.21077260,0.92307692,0.00883623,0.48082127,PANW,PANW
2026-03-04,ANET,AMD,0.04666874,0.02606615,0.02235631,0.00370984,True,True,-0.00163069,0.05264793,1.00000000,0.40698304,1.00000000,0.00802701,0.81994351,PLTR,PLTR
2026-03-05,ANET,ANET,0.03604608,0.03695712,0.02316667,0.01379045,True,False,-0.00408770,0.03664065,0.52000000,0.17886779,1.00000000,-0.00984153,0.77164723,NOW,NOW
2026-03-06,PLTR,PLTR,0.03394514,0.03521719,0.02920248,0.00601471,True,True,-0.00256562,0.06210118,0.98666667,0.15169332,1.00000000,0.01123594,0.69573590,MRVL,MRVL
2026-03-09,MRVL,MRVL,0.09235575,0.06517987,0.02417367,0.04100620,True,True,-0.00748512,0.09536158,0.96000000,0.40091491,1.00000000,-0.03279512,6.13236774,NOW,AVGO
2026-03-10,PANW,PANW,0.02443097,0.02551692,0.02045224,0.00506469,True,True,-0.00524740,0.02702870,0.80000000,0.18232677,0.96153846,-0.02320014,0.53458736,MU,MU
2026-03-11,MU,MU,0.02328310,0.03168777,0.01984526,0.01184251,True,True,-0.00057444,0.03337856,1.00000000,0.16161380,1.00000000,-0.00747160,0.74620338,ORCL,ORCL
2026-03-12,AVGO,PANW,-0.00092188,0.01535959,0.01423200,0.00112759,False,False,-0.01210337,0.01058673,0.66666667,-0.00750584,0.88461538,-0.00346634,0.63206820,CRM,CRM
2026-03-13,MU,MU,0.00705265,0.04467127,0.04022503,0.00444624,True,False,-0.01695799,0.01466233,0.53333333,0.04186206,0.94230769,0.01019961,1.51659948,ADBE,ADBE
2026-03-16,ADBE,ADBE,0.02732463,0.02736627,0.02026631,0.00709997,True,True,-0.00265090,0.04555465,0.90666667,0.19313701,0.92307692,-0.01223040,2.04983584,MRVL,MRVL
2026-03-17,MU,MU,0.02952457,0.03469285,0.02766691,0.00702595,True,True,-0.00735862,0.03186580,0.93333333,0.29510228,1.00000000,-0.01539530,1.23134418,NOW,NOW
2026-03-18,AMD,AMD,0.01130774,0.04110794,0.03859689,0.00251105,False,True,-0.00126718,0.02864966,0.84000000,0.08826440,0.98076923,0.00341893,0.62673561,NOW,NOW
2026-03-19,LRCX,LRCX,0.05993205,0.04560054,0.04072583,0.00487471,True,True,-0.00122310,0.06518686,1.00000000,0.32387732,1.00000000,0.01209595,1.31401897,MU,MU
2026-03-20,AMAT,ADBE,-0.00081094,0.03274387,0.03120283,0.00154104,False,False,-0.03061995,0.00262856,0.12000000,-0.00479615,1.00000000,-0.00273686,2.48896431,MRVL,MRVL
2026-03-23,PLTR,PLTR,0.01926856,0.02467192,0.01828080,0.00639112,True,False,-0.01071180,0.02097991,0.65333333,0.13981254,1.00000000,0.02944958,1.66208200,PLTR,PLTR
2026-03-24,KLAC,KLAC,0.03594577,0.03191149,0.02989964,0.00201185,False,True,-0.00275794,0.04659392,1.00000000,0.26553385,0.86538462,0.02468818,0.91052202,KLAC,KLAC
2026-03-25,ANET,ANET,0.01905876,0.02508157,0.02428873,0.00079284,False,True,-0.01007661,0.01958712,0.85333333,0.13792840,1.00000000,-0.00682028,0.74493973,MRVL,MRVL
2026-03-26,CRM,CRM,0.01498988,0.02562628,0.01903878,0.00658750,True,False,-0.00065649,0.02560315,0.54666667,0.11943786,0.86538462,0.00894150,1.22458067,PANW,PANW
2026-03-27,AMD,PANW,0.00114008,0.02905998,0.01793176,0.01112822,False,True,-0.02007534,0.00758352,0.73333333,0.00894698,0.86538462,0.00619901,0.65915554,LRCX,LRCX
2026-03-30,NOW,NOW,0.03842730,0.04398030,0.02333118,0.02064912,True,True,-0.00029674,0.04836795,0.97333333,0.24322294,0.88461538,0.01207494,0.69777940,PANW,PANW
2026-03-31,MRVL,MU,0.05159783,0.02712253,0.02172791,0.00539462,True,True,-0.01199703,0.05701242,0.81333333,0.21336377,0.96153846,-0.02447334,5.49632194,META,META
2026-04-01,MU,MU,0.04732751,0.03759206,0.02916621,0.00842585,True,True,-0.00595153,0.07608822,0.96000000,0.21970236,0.76923077,0.00630449,1.64633386,KLAC,KLAC
